,Country,Subcontinent,Region,In EU,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
0,Afghanistan,West & Central Asia,ASIA (EX. NEAR EAST),FALSE,31056997,1677018.525,47.96,0,23.06,163.07,700,36,3.22,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38
1,Albania,Europe,EASTERN EUROPE,FALSE,3581655,74457.03252,124.59,1.26,-4.93,21.52,4500,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,0.232,0.188,0.579
2,Algeria,North Africa,NORTHERN AFRICA,FALSE,32930091,6168682.7826,13.83,0.04,-0.39,31,6000,70,78.1,3.22,0.25,96.53,1,17.14,4.61,0.101,0.6,0.298
3,American Samoa,Oceania,OCEANIA,FALSE,57794,515.40801,290.42,58.29,-20.71,9.27,8000,97,259.54,10,15,75,2,22.46,3.27,,,
4,Andorra,Europe,WESTERN EUROPE,FALSE,71201,1212.11532,152.14,0,6.6,4.05,19000,100,497.18,2.22,0,97.78,3,8.71,6.25,,,
5,Angola,Sub-Saharan Africa,SUB-SAHARAN AFRICA,FALSE,12127071,3228940.533,9.73,0.13,0,191.19,1900,42,7.78,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246
6,Anguilla,Caribbean Islands,LATIN AMER. & CARIB,FALSE,13477,264.17898,132.13,59.8,10.76,21.03,8600,95,460.04,0,0,100,2,14.17,5.34,0.04,0.18,0.78
7,Antigua & Barbuda,Caribbean Islands,LATIN AMER. & CARIB,FALSE,69108,1147.36557,156,34.54,-6.15,19.46,11000,89,549.86,18.18,4.55,77.27,2,16.93,5.37,0.038,0.22,0.743
8,Argentina,South America,LATIN AMER. & CARIB,FALSE,39921833,7166217.4311,14.43,0.18,0.61,15.18,11200,97.1,220.43,12.31,0.48,87.21,3,16.73,7.55,0.095,0.358,0.547
9,Armenia,West & Central Asia,C.W. OF IND. STATES,FALSE,2976372,77181.702,99.88,0,-6.47,23.28,3500,98.6,195.71,17.55,2.3,80.15,4,12.07,8.23,0.239,0.343,0.418
10,Aruba,Caribbean Islands,LATIN AMER. & CARIB,FALSE,71891,499.86807,372.49,35.49,0,5.89,28000,97,516.06,10.53,0,89.47,2,11.03,6.68,0.004,0.333,0.663
11,Australia,Oceania,OCEANIA,FALSE,20264082,19908864.6315,2.64,0.34,3.98,4.69,29000,100,565.53,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7
12,Austria,Europe,WESTERN EUROPE,TRUE,8192880,217222.4613,97.69,0,2,4.66,30000,98,452.22,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678
