# -*- coding: UTF-8 -*-
subject_id,Mapping,Colour,Position,Button,RT
2,left4red,red,left,276,926
2,left4red,green,right,275,589
2,left4red,red,right,276,565
2,left4red,green,left,275,1252
2,left4red,green,right,275,726
2,left4red,red,left,276,510
2,left4red,green,left,275,646
2,left4red,red,right,276,326
2,left4green,green,right,275,660
2,left4green,green,right,276,710
2,left4green,red,left,275,789
2,left4green,red,right,276,933
2,left4green,red,left,276,541
2,left4green,green,left,276,406
2,left4green,red,right,276,773
2,left4green,green,left,275,550
1,left4red,red,left,276,926
1,left4red,green,right,275,589
1,left4red,red,right,276,565
1,left4red,green,left,275,1252
1,left4red,green,right,275,726
1,left4red,red,left,276,510
1,left4red,green,left,275,646
1,left4red,red,right,276,326
1,left4green,green,right,275,660
1,left4green,green,right,276,710
1,left4green,red,left,275,789
1,left4green,red,right,276,933
1,left4green,red,left,276,541
1,left4green,green,left,276,406
1,left4green,red,right,276,773
1,left4green,green,left,275,550
