# -*- coding: UTF-8 -*-
#exp: SNARC
#xpi: This a just a SNARC experiment.
#bws: mapping_order=left_odd_first,right_odd_first
#bws-rand: 0
#dvn: block,mapping,trial,digit,ISI,btn,RT,error
block_cnt,block_id,block_mapping,trial_cnt,trial_id,digit
0,0,left_odd,0,18,2
0,0,left_odd,1,1,1
0,0,left_odd,2,42,6
0,0,left_odd,3,17,2
0,0,left_odd,4,2,1
0,0,left_odd,5,57,7
0,0,left_odd,6,60,8
0,0,left_odd,7,47,6
0,0,left_odd,8,51,7
0,0,left_odd,9,58,7
0,0,left_odd,10,19,2
0,0,left_odd,11,54,7
0,0,left_odd,12,13,2
0,0,left_odd,13,65,8
0,0,left_odd,14,40,6
0,0,left_odd,15,74,9
0,0,left_odd,16,75,9
0,0,left_odd,17,43,6
0,0,left_odd,18,76,9
0,0,left_odd,19,64,8
0,0,left_odd,20,16,2
0,0,left_odd,21,39,4
0,0,left_odd,22,23,3
0,0,left_odd,23,72,9
0,0,left_odd,24,25,3
0,0,left_odd,25,36,4
0,0,left_odd,26,59,7
0,0,left_odd,27,67,8
0,0,left_odd,28,34,4
0,0,left_odd,29,50,7
0,0,left_odd,30,71,9
0,0,left_odd,31,38,4
0,0,left_odd,32,45,6
0,0,left_odd,33,49,6
0,0,left_odd,34,21,3
0,0,left_odd,35,26,3
0,0,left_odd,36,41,6
0,0,left_odd,37,12,2
0,0,left_odd,38,28,3
0,0,left_odd,39,11,2
0,0,left_odd,40,44,6
0,0,left_odd,41,52,7
0,0,left_odd,42,0,1
0,0,left_odd,43,15,2
0,0,left_odd,44,27,3
0,0,left_odd,45,69,8
0,0,left_odd,46,31,4
0,0,left_odd,47,48,6
0,0,left_odd,48,30,4
0,0,left_odd,49,14,2
0,0,left_odd,50,6,1
0,0,left_odd,51,29,3
0,0,left_odd,52,9,1
0,0,left_odd,53,70,9
0,0,left_odd,54,37,4
0,0,left_odd,55,61,8
0,0,left_odd,56,53,7
0,0,left_odd,57,63,8
0,0,left_odd,58,24,3
0,0,left_odd,59,32,4
0,0,left_odd,60,7,1
0,0,left_odd,61,78,9
0,0,left_odd,62,66,8
0,0,left_odd,63,55,7
0,0,left_odd,64,35,4
0,0,left_odd,65,46,6
0,0,left_odd,66,33,4
0,0,left_odd,67,10,2
0,0,left_odd,68,3,1
0,0,left_odd,69,22,3
0,0,left_odd,70,73,9
0,0,left_odd,71,79,9
0,0,left_odd,72,4,1
0,0,left_odd,73,5,1
0,0,left_odd,74,8,1
0,0,left_odd,75,56,7
0,0,left_odd,76,20,3
0,0,left_odd,77,68,8
0,0,left_odd,78,77,9
0,0,left_odd,79,62,8
1,1,right_odd,0,13,2
1,1,right_odd,1,43,6
1,1,right_odd,2,15,2
1,1,right_odd,3,40,6
1,1,right_odd,4,50,7
1,1,right_odd,5,75,9
1,1,right_odd,6,16,2
1,1,right_odd,7,67,8
1,1,right_odd,8,48,6
1,1,right_odd,9,65,8
1,1,right_odd,10,23,3
1,1,right_odd,11,6,1
1,1,right_odd,12,68,8
1,1,right_odd,13,7,1
1,1,right_odd,14,34,4
1,1,right_odd,15,31,4
1,1,right_odd,16,47,6
1,1,right_odd,17,74,9
1,1,right_odd,18,53,7
1,1,right_odd,19,52,7
1,1,right_odd,20,66,8
1,1,right_odd,21,32,4
1,1,right_odd,22,70,9
1,1,right_odd,23,60,8
1,1,right_odd,24,63,8
1,1,right_odd,25,19,2
1,1,right_odd,26,59,7
1,1,right_odd,27,46,6
1,1,right_odd,28,29,3
1,1,right_odd,29,78,9
1,1,right_odd,30,76,9
1,1,right_odd,31,62,8
1,1,right_odd,32,5,1
1,1,right_odd,33,55,7
1,1,right_odd,34,25,3
1,1,right_odd,35,10,2
1,1,right_odd,36,37,4
1,1,right_odd,37,72,9
1,1,right_odd,38,0,1
1,1,right_odd,39,3,1
1,1,right_odd,40,24,3
1,1,right_odd,41,36,4
1,1,right_odd,42,18,2
1,1,right_odd,43,71,9
1,1,right_odd,44,58,7
1,1,right_odd,45,2,1
1,1,right_odd,46,69,8
1,1,right_odd,47,22,3
1,1,right_odd,48,57,7
1,1,right_odd,49,79,9
1,1,right_odd,50,9,1
1,1,right_odd,51,73,9
1,1,right_odd,52,51,7
1,1,right_odd,53,17,2
1,1,right_odd,54,21,3
1,1,right_odd,55,61,8
1,1,right_odd,56,8,1
1,1,right_odd,57,4,1
1,1,right_odd,58,77,9
1,1,right_odd,59,42,6
1,1,right_odd,60,45,6
1,1,right_odd,61,14,2
1,1,right_odd,62,27,3
1,1,right_odd,63,20,3
1,1,right_odd,64,1,1
1,1,right_odd,65,39,4
1,1,right_odd,66,35,4
1,1,right_odd,67,28,3
1,1,right_odd,68,26,3
1,1,right_odd,69,64,8
1,1,right_odd,70,56,7
1,1,right_odd,71,12,2
1,1,right_odd,72,44,6
1,1,right_odd,73,54,7
1,1,right_odd,74,41,6
1,1,right_odd,75,38,4
1,1,right_odd,76,30,4
1,1,right_odd,77,11,2
1,1,right_odd,78,49,6
1,1,right_odd,79,33,4
