# -*- coding: UTF-8 -*-
subject_id,Mapping,Colour,Position,Button,RT
2,left4red,red,right,276,933
2,left4red,red,right,276,453
2,left4red,green,left,275,596
2,left4red,green,right,275,477
2,left4red,green,left,275,309
2,left4red,green,right,275,341
2,left4red,red,left,276,333
2,left4red,red,left,276,453
2,left4green,green,left,276,508
2,left4green,green,right,275,373
2,left4green,red,left,275,565
2,left4green,green,right,276,469
2,left4green,red,left,276,454
2,left4green,red,right,275,502
2,left4green,red,right,275,445
2,left4green,green,left,276,413
7,left4green,green,right,276,150
7,left4green,red,left,276,134
7,left4green,red,left,276,53
7,left4green,red,right,276,173
7,left4green,red,right,276,150
7,left4green,green,left,276,125
7,left4green,green,right,276,117
7,left4green,green,left,276,166
7,left4red,green,left,276,238
7,left4red,green,left,276,21
7,left4red,red,right,276,118
7,left4red,green,right,276,117
7,left4red,red,left,276,85
7,left4red,red,left,276,125
7,left4red,green,right,276,30
7,left4red,red,right,276,86
1,left4green,green,left,276,533
1,left4green,green,right,276,381
1,left4green,red,right,275,405
1,left4green,red,left,275,557
1,left4green,red,right,275,342
1,left4green,red,left,275,454
1,left4green,green,left,276,366
1,left4green,green,right,276,430
1,left4red,red,right,276,436
1,left4red,green,left,275,445
1,left4red,red,right,276,486
1,left4red,red,left,276,365
1,left4red,green,right,275,421
1,left4red,red,left,276,309
1,left4red,green,left,275,517
1,left4red,green,right,275,677
