# -*- coding: UTF-8 -*-
#exp: Simon Task
#bws: TaskOrder=left=green first,left=red first
#bws-rand: 0
#dvn: Mapping,Colour,Position,Button,RT
block_cnt,block_id,block_Mapping,trial_cnt,trial_id,Colour,Position
0,0,left=green,0,5,red,right
0,0,left=green,1,3,green,left
0,0,left=green,2,6,green,right
0,0,left=green,3,4,red,right
0,0,left=green,4,1,red,left
0,0,left=green,5,7,green,right
0,0,left=green,6,0,red,left
0,0,left=green,7,2,green,left
1,1,left=red,0,7,green,right
1,1,left=red,1,6,green,right
1,1,left=red,2,4,red,right
1,1,left=red,3,1,red,left
1,1,left=red,4,0,red,left
1,1,left=red,5,3,green,left
1,1,left=red,6,2,green,left
1,1,left=red,7,5,red,right
