,VP_Nr,Alter,Geschlecht,RT_1_1,RT_2_1,RT_3_1,RT_4_1,RT_5_1,RT_6_1,RT_1_2,RT_2_2,RT_3_2,RT_4_2,RT_5_2,RT_6_2,mRT_ja,Anzahl_Ziffern,mRT_nein
0,101.0,21.0,1.0,663.0,875.0,821.0,1012.0,1259.0,1470.0,739.0,739.0,1188.0,1419.0,1232.0,1063.0,596.8557,1.0,662.0928
1,102.0,21.0,1.0,571.0,892.0,912.0,1117.0,1427.0,1388.0,544.0,897.0,994.0,1055.0,1112.0,1386.0,652.6392,2.0,679.8557
2,103.0,20.0,1.0,586.0,777.0,803.0,742.0,797.0,930.0,648.0,628.0,717.0,763.0,812.0,791.0,714.2577,3.0,731.732
3,104.0,26.0,1.0,494.0,714.0,804.0,821.0,859.0,1026.0,587.0,631.0,630.0,704.0,823.0,865.0,745.8866,4.0,761.3196
4,105.0,44.0,1.0,1357.0,835.0,787.0,1008.0,1251.0,1454.0,739.0,769.0,886.0,976.0,1184.0,1157.0,803.6289,5.0,831.8866
5,107.0,24.0,1.0,733.0,689.0,673.0,653.0,930.0,818.0,791.0,800.0,724.0,691.0,835.0,822.0,848.2887,6.0,880.5155
6,108.0,25.0,2.0,397.0,465.0,528.0,453.0,564.0,543.0,486.0,577.0,634.0,635.0,691.0,705.0,,,
7,109.0,20.0,1.0,534.0,550.0,662.0,756.0,841.0,858.0,922.0,781.0,765.0,826.0,978.0,980.0,,,
8,110.0,20.0,1.0,606.0,842.0,737.0,769.0,723.0,882.0,539.0,639.0,788.0,724.0,1003.0,773.0,,,
9,111.0,20.0,1.0,410.0,531.0,594.0,589.0,765.0,807.0,540.0,621.0,821.0,778.0,711.0,728.0,,,
10,113.0,19.0,1.0,685.0,519.0,722.0,720.0,652.0,775.0,560.0,569.0,558.0,649.0,789.0,652.0,,,
11,114.0,24.0,2.0,451.0,546.0,643.0,730.0,755.0,632.0,506.0,516.0,584.0,670.0,902.0,772.0,,,
12,115.0,18.0,2.0,514.0,502.0,443.0,477.0,650.0,630.0,479.0,485.0,453.0,470.0,539.0,459.0,,,
13,116.0,20.0,1.0,740.0,810.0,950.0,921.0,958.0,1018.0,694.0,770.0,858.0,861.0,970.0,802.0,,,
14,117.0,20.0,1.0,754.0,830.0,837.0,795.0,822.0,882.0,642.0,965.0,941.0,808.0,783.0,749.0,,,
15,118.0,19.0,1.0,512.0,538.0,653.0,616.0,621.0,706.0,470.0,457.0,629.0,545.0,581.0,815.0,,,
16,119.0,20.0,1.0,869.0,798.0,1131.0,1225.0,1385.0,1168.0,685.0,968.0,1081.0,899.0,1093.0,1364.0,,,
